Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
01.RCWB, 02.RCWM,    1, 0.00000e+00,   1, 0.00000e+00,   1,   1, LU, 0.00000e+00,   0,   0,   0
02.RCWM, 03.RCWC,    1, 2.15000e+01,   1, 0.00000e+00,   1,   1, LU, 2.15000e+01,   0,   0,   0
03.RCWC, 04.RTSC,    1, 2.15000e+01,   1, 0.00000e+00,   1,   1, LU, 2.15000e+01,   0,   0,   0
04.RTSC, 15.RSTB,    1, 2.15000e+01,   1, 0.00000e+00,   1,   1, L-, 2.15000e+01,   0,   0,   0
15.RSTB, 16.RSTM,    1, 2.15000e+01,   1, 0.00000e+00,   1,   1, L-, 2.15000e+01,   0,   0,   0
16.RSTM, 17.DOPB,    1, 2.15000e+01,   1, 0.00000e+00,   1,   1, L-, 2.15000e+01,   0,   0,   0
17.DOPB, 18.DOPM,    1, 2.25500e+01,   1, 0.00000e+00,   1,   1, L-, 2.25500e+01,   0,   0,   0
18.DOPM, 19.DOPC,    1, 2.36000e+01,   1, 0.00000e+00,   1,   1, L-, 2.36000e+01,   0,   0,   0
19.DOPC, 20.TOFP,    1, 2.36000e+01,   1, 0.00000e+00,   1,   1, L-, 2.36000e+01,   0,   0,   0
20.TOFP, 24.TONP,    1, 2.36000e+01,   1, 0.00000e+00,   1,   1, L-, 2.36000e+01,   0,   0,   0
24.TONP, 25.TONB,    1, 2.36000e+01,   1, 0.00000e+00,   1,   1, L-, 2.36000e+01,   0,   0,   0
25.TONB, 26.TONM,    1, 2.36000e+01,   1, 0.00000e+00,   1,   1, L-, 2.36000e+01,   0,   0,   0
26.TONM, 27.TONC,    1, 2.44000e+01,   1, 0.00000e+00,   1,   1, L-, 2.44000e+01,   1,   0,   1
27.TONC, 28.DCLB,    1, 2.44000e+01,   1, 0.00000e+00,   1,   1, L-, 2.44000e+01,   0,   0,   1
28.DCLB, 29.DCLM,    1, 2.62500e+01,   1, 0.00000e+00,   1,   1, L-, 2.62500e+01,   0,   0,   1
29.DCLM, 30.DCLC,    1, 2.81000e+01,   1, 0.00000e+00,   1,   1, L-, 2.81000e+01,   0,   0,   1
30.DCLC, 31.RSTC,    1, 2.81000e+01,   1, 0.00000e+00,   1,   1, L-, 2.81000e+01,   0,   0,   1
31.RSTC, 04.RTSC,    1, 2.81000e+01,   1, 0.00000e+00,   1,   1, L-, 2.81000e+01,   0,   0,   1
04.RTSC, 06.RSUB,    1, 2.81000e+01,   1, 0.00000e+00,   1,   7, LU, 2.81000e+01,   0,   0,   1
06.RSUB, 07.RSUM,    1, 2.96500e+01,   1, 4.87500e-01,   1,   7, LU, 2.96500e+01,   0,   0,   1
07.RSUM, 08.RSUC,    1, 3.12000e+01,   1, 1.95000e+00,   1,   7, LU, 3.12000e+01,   0,   0,   1
08.RSUC, 09.RCOB,    1, 3.12000e+01,   1, 1.95000e+00,   1,   7, LU, 3.12000e+01,   0,   0,   1
09.RCOB, 10.RCOM,    1, 3.69000e+01,   4, 1.05000e+01,   1,   7, LU, 3.69000e+01,   0,   0,   1
10.RCOM, 05.RTSR,    1, 4.26000e+01,   6, 1.90500e+01,   1,   7, UU, 4.26000e+01,   0,   0,   1
05.RTSR, 11.RCOC,    1, 4.26000e+01,   6, 1.90500e+01,   1,   7, UU, 4.26000e+01,   0,   0,   1
11.RCOC, 12.RSDB,    1, 4.26000e+01,   6, 1.90500e+01,   1,   7, UU, 4.26000e+01,   0,   0,   1
12.RSDB, 13.RSDM,    1, 4.26000e+01,   6, 2.05125e+01,   1,   7, UU, 4.26000e+01,   0,   0,   1
13.RSDM, 14.RSDC,    1, 4.57000e+01,   7, 2.10000e+01,   1,   7, UU, 4.57000e+01,   0,   0,   1
14.RSDC, 15.RSTB,    1, 4.57000e+01,   7, 2.10000e+01,   1,   7, UU, 4.57000e+01,   0,   0,   1
15.RSTB, 16.RSTM,    1, 4.57000e+01,   7, 2.10000e+01,   1,   7, UU, 4.57000e+01,   0,   0,   1
16.RSTM, 17.DOPB,    1, 4.57000e+01,   7, 2.10000e+01,   1,   7, UU, 4.57000e+01,   0,   0,   1
17.DOPB, 18.DOPM,    1, 4.67500e+01,   7, 2.10000e+01,   1,   7, UU, 4.67500e+01,   0,   0,   1
18.DOPM, 19.DOPC,    1, 4.78000e+01,   7, 2.10000e+01,   1,   7, UU, 4.78000e+01,   0,   0,   1
19.DOPC, 20.TOFP,    1, 4.78000e+01,   7, 2.10000e+01,   1,   7, UU, 4.78000e+01,   0,   0,   1
20.TOFP, 21.TOFB,    1, 4.78000e+01,   7, 2.10000e+01,   1,   7, UU, 4.78000e+01,   0,   0,   1
21.TOFB, 22.TOFM,    1, 4.78000e+01,   7, 2.10000e+01,   1,   7, UU, 4.78000e+01,   0,   0,   1
22.TOFM, 23.TOFC,    1, 4.86000e+01,   7, 2.10000e+01,   1,   7, UU, 4.86000e+01,   0,   1,   0
23.TOFC, 24.TONP,    1, 4.86000e+01,   7, 2.10000e+01,   1,   7, UU, 4.86000e+01,   0,   0,   0
24.TONP, 28.DCLB,    1, 4.86000e+01,   7, 2.10000e+01,   1,   7, UU, 4.86000e+01,   0,   0,   0
28.DCLB, 29.DCLM,    1, 5.04500e+01,   7, 2.10000e+01,   1,   7, UU, 5.04500e+01,   0,   0,   0
29.DCLM, 30.DCLC,    1, 5.23000e+01,   7, 2.10000e+01,   1,   7, UU, 5.23000e+01,   0,   0,   0
30.DCLC, 31.RSTC,    1, 5.23000e+01,   7, 2.10000e+01,   1,   7, UU, 5.23000e+01,   0,   0,   0
31.RSTC, 04.RTSC,    1, 5.23000e+01,   7, 2.10000e+01,   1,   7, UU, 5.23000e+01,   0,   0,   0
04.RTSC, 06.RSUB,    1, 5.23000e+01,   7, 2.10000e+01,   7,   2, UD, 5.23000e+01,   0,   0,   0
06.RSUB, 07.RSUM,    1, 5.38500e+01,   6, 2.05125e+01,   7,   2, UD, 5.38500e+01,   0,   0,   0
07.RSUM, 08.RSUC,    1, 5.54000e+01,   6, 1.90500e+01,   7,   2, UD, 5.54000e+01,   0,   0,   0
08.RSUC, 09.RCOB,    1, 5.54000e+01,   6, 1.90500e+01,   7,   2, UD, 5.54000e+01,   0,   0,   0
