 NowState :   Stat: 01.RCWB, NowState :   Stat: 02.RCWM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=LU, Clt=0.00000e+00, Hc=   0
 NowState :   Stat: 02.RCWM, NowState :   Stat: 03.RCWC, itv      : 21.500000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=LU, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 03.RCWC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=LU, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 04.RTSC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.25500e+01, Hc=   0
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.36000e+01, Hc=   0
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.36000e+01, Hc=   0
 NowState :   Stat: 20.TOFP, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.36000e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.36000e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.36000e+01, Hc=   0
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.44000e+01, Hc=   1
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.44000e+01, Hc=   1
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.62500e+01, Hc=   1
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.81000e+01, Hc=   1
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.81000e+01, Hc=   1
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=2.81000e+01, Hc=   1
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=2.81000e+01, Hc=   1
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   0	Pos=   1, hw=4.87500e-01, Dep=   1, Arr=   7, Dir=LU, Clt=2.96500e+01, Hc=   1
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=3.12000e+01, Hc=   1
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=3.12000e+01, Hc=   1
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 5.700000	 Cycle=   0	Pos=   4, hw=1.05000e+01, Dep=   1, Arr=   7, Dir=LU, Clt=3.69000e+01, Hc=   1
