 NowState :   Stat: 01.RCWB, NowState :   Stat: 02.RCWM, itv      : 0.000000	 Cycle=   0	Pos=   5, hw=0.00000e+00, Dep=   5, Arr=   5, Dir=LD, Clt=0.00000e+00, Hc=   0
 NowState :   Stat: 02.RCWM, NowState :   Stat: 03.RCWC, itv      : 21.500000	 Cycle=   0	Pos=   5, hw=0.00000e+00, Dep=   5, Arr=   5, Dir=LD, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 03.RCWC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   0	Pos=   5, hw=0.00000e+00, Dep=   5, Arr=   5, Dir=LD, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   0	Pos=   5, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=2.15000e+01, Hc=   0
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   0	Pos=   4, hw=1.35125e+01, Dep=   5, Arr=   1, Dir=LD, Clt=2.30500e+01, Hc=   0
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   0	Pos=   4, hw=1.20500e+01, Dep=   5, Arr=   1, Dir=LD, Clt=2.46000e+01, Hc=   0
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   0	Pos=   4, hw=1.20500e+01, Dep=   5, Arr=   1, Dir=LD, Clt=2.46000e+01, Hc=   0
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 3.366667	 Cycle=   0	Pos=   3, hw=7.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=2.79667e+01, Hc=   0
 NowState :   Stat: 10.RCOM, NowState :   Stat: 05.RTSR, itv      : 3.366667	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.13333e+01, Hc=   0
 NowState :   Stat: 05.RTSR, NowState :   Stat: 11.RCOC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.13333e+01, Hc=   0
 NowState :   Stat: 11.RCOC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.13333e+01, Hc=   0
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=4.87500e-01, Dep=   5, Arr=   1, Dir=LD, Clt=3.13333e+01, Hc=   0
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.100000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.44333e+01, Hc=   0
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.44333e+01, Hc=   0
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.44333e+01, Hc=   0
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.44333e+01, Hc=   0
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.54833e+01, Hc=   0
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.65333e+01, Hc=   0
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.65333e+01, Hc=   0
 NowState :   Stat: 20.TOFP, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.65333e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.65333e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.65333e+01, Hc=   0
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.73333e+01, Hc=   1
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.73333e+01, Hc=   1
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=3.91833e+01, Hc=   1
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=4.10333e+01, Hc=   1
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=4.10333e+01, Hc=   1
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   5, Arr=   1, Dir=LD, Clt=4.10333e+01, Hc=   1
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=4.10333e+01, Hc=   1
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   0	Pos=   1, hw=4.87500e-01, Dep=   1, Arr=   7, Dir=LU, Clt=4.25833e+01, Hc=   1
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=4.41333e+01, Hc=   1
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   0	Pos=   1, hw=1.95000e+00, Dep=   1, Arr=   7, Dir=LU, Clt=4.41333e+01, Hc=   1
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 5.700000	 Cycle=   0	Pos=   4, hw=1.05000e+01, Dep=   1, Arr=   7, Dir=LU, Clt=4.98333e+01, Hc=   1
 NowState :   Stat: 10.RCOM, NowState :   Stat: 05.RTSR, itv      : 5.700000	 Cycle=   0	Pos=   6, hw=1.90500e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.55333e+01, Hc=   1
 NowState :   Stat: 05.RTSR, NowState :   Stat: 11.RCOC, itv      : 0.000000	 Cycle=   0	Pos=   6, hw=1.90500e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.55333e+01, Hc=   1
 NowState :   Stat: 11.RCOC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   0	Pos=   6, hw=1.90500e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.55333e+01, Hc=   1
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   0	Pos=   6, hw=2.05125e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.55333e+01, Hc=   1
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.100000	 Cycle=   0	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=5.86333e+01, Hc=   1
