PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----
1,    1,   1,   7,    21.5,    21.5,    23.6,    47.8,     2.1,    24.2,    26.3, 09.SVCP
2,    1,   2,   1,    46.2,    24.6,    69.7,    83.0,    23.5,    13.4,    36.8, 09.SVCP
3,    1,   1,   2,    52.9,     6.7,    83.8,    98.0,    30.9,    14.2,    45.1, 09.SVCP
4,    1,   1,   8,    74.2,    21.3,    84.6,   122.2,    10.4,    37.6,    48.0, 09.SVCP
5,    1,   1,  10,    95.9,    21.8,   159.7,   203.6,    63.8,    43.8,   107.7, 09.SVCP
6,    1,   1,   9,    99.0,     3.1,   160.5,   190.2,    61.5,    29.7,    91.2, 09.SVCP
7,    1,   5,   1,    99.8,     0.7,   139.4,   158.9,    39.6,    19.5,    59.1, 09.SVCP
8,    1,   1,  10,   140.1,    40.4,   161.3,   204.4,    21.2,    43.0,    64.3, 09.SVCP
9,    1,   2,   1,   169.5,    29.4,   243.4,   257.6,    73.9,    14.2,    88.1, 09.SVCP
10,    1,   1,   4,   175.7,     6.2,   258.4,   277.2,    82.7,    18.8,   101.5, 09.SVCP
11,    1,   4,   1,   200.9,    25.1,   228.6,   256.8,    27.7,    28.2,    55.9, 09.SVCP
12,    1,   1,   9,   201.0,     0.2,   259.2,   299.1,    58.2,    39.9,    98.1, 09.SVCP
13,    1,   1,  10,   211.8,    10.7,   260.0,   312.5,    48.2,    52.4,   100.7, 09.SVCP
14,    1,   7,   1,   233.6,    21.8,   329.7,   375.1,    96.1,    45.4,   141.5, 09.SVCP
15,    1,   4,   1,   268.9,    35.4,   346.9,   375.9,    78.0,    29.0,   107.0, 09.SVCP
16,    1,   1,   6,   271.6,     2.7,   377.5,   424.6,   105.9,    47.1,   153.0, 09.SVCP
17,    1,   1,   2,   281.4,     9.8,   378.3,   393.3,    96.9,    15.0,   111.9, 09.SVCP
18,    1,   3,   1,   287.4,     6.0,   360.2,   376.7,    72.8,    16.5,    89.3, 09.SVCP
19,    1,   1,   5,   307.7,    20.3,   379.1,   410.5,    71.4,    31.4,   102.8, 09.SVCP
20,    1,   1,   5,   347.3,    39.6,   379.9,   411.3,    32.6,    31.4,    64.0, 09.SVCP
