 PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----

      1,    2,   1,   7,    21.5,    21.5,    36.5,    60.7,    15.0,    24.2,    39.2, 09.SVCP

      2,    2,   2,   1,    46.2,    24.6,    82.6,    96.0,    36.4,    13.4,    49.8, 09.SVCP

      3,    2,   1,   2,    52.9,     6.7,    96.8,   118.3,    43.9,    21.6,    65.4, 09.SVCP

      4,    2,   1,   8,    74.2,    21.3,    97.6,   152.7,    23.4,    55.2,    78.5, 09.SVCP

      5,    2,   1,  10,    95.9,    21.8,    98.4,   179.5,     2.5,    81.1,    83.6, 09.SVCP

      6,    2,   1,   9,    99.0,     3.1,   105.0,   166.1,     6.0,    61.1,    67.1, 09.SVCP

      7,    2,   5,   1,    99.8,     0.7,   135.5,   221.7,    35.7,    86.2,   121.9, 09.SVCP

      8,    2,   1,  10,   140.1,    40.4,   223.3,   289.2,    83.2,    65.8,   149.1, 09.SVCP

      9,    2,   2,   1,   169.5,    29.4,   208.4,   222.5,    38.9,    14.2,    53.0, 09.SVCP

     10,    2,   1,   4,   175.7,     6.2,   224.1,   242.9,    48.4,    18.8,    67.2, 09.SVCP

     11,    2,   4,   1,   200.9,    25.1,   243.7,   342.4,    42.8,    98.7,   141.5, 09.SVCP

     12,    2,   1,   9,   201.0,     0.2,   224.9,   275.8,    23.9,    50.9,    74.8, 09.SVCP

     13,    2,   1,  10,   211.8,    10.7,   225.7,   290.0,    13.9,    64.2,    78.2, 09.SVCP

     14,    2,   7,   1,   233.6,    21.8,   260.9,   343.2,    27.3,    82.3,   109.6, 09.SVCP

     15,    2,   4,   1,   268.9,    35.4,   314.2,   344.0,    45.3,    29.8,    75.1, 09.SVCP

     16,    2,   1,   6,   271.6,     2.7,   345.6,   399.3,    74.0,    53.7,   127.7, 09.SVCP

     17,    2,   1,   2,   281.4,     9.8,   346.4,   367.2,    65.0,    20.8,    85.8, 09.SVCP

     18,    2,   3,   1,   287.4,     6.0,   327.5,   344.8,    40.1,    17.3,    57.4, 09.SVCP

     19,    2,   1,   5,   307.7,    20.3,   347.2,   384.4,    39.5,    37.2,    76.7, 09.SVCP

     20,    2,   1,   5,   347.3,    39.6,   353.8,   385.2,     6.5,    31.4,    37.9, 09.SVCP

     21,    2,  10,   1,   352.9,     5.7,   418.9,   450.9,    66.0,    32.0,    98.0, 09.SVCP

     22,    2,   5,   1,   363.9,    10.9,   386.0,   450.1,    22.1,    64.1,    86.2, 09.SVCP

     23,    2,   1,   2,   390.5,    26.6,   451.7,   474.0,    61.2,    22.4,    83.5, 09.SVCP

     24,    2,   1,   3,   390.7,     0.2,   452.5,   487.4,    61.8,    34.9,    96.7, 09.SVCP

     25,    2,   1,   7,   398.9,     8.2,   453.3,   529.8,    54.4,    76.6,   130.9, 09.SVCP

     26,    2,   1,   4,   430.2,    31.3,   454.1,   500.8,    23.9,    46.7,    70.6, 09.SVCP

     27,    2,   8,   1,   448.5,    18.3,   544.0,   609.1,    95.5,    65.1,   160.6, 09.SVCP

     28,    2,   1,   5,   453.5,     5.0,   460.7,   515.0,     7.2,    54.3,    61.5, 09.SVCP

     29,    2,   9,   1,   468.1,    14.6,   557.4,   609.9,    89.3,    52.5,   141.8, 09.SVCP

     30,    2,   4,   1,   470.9,     2.8,   501.6,   607.5,    30.7,   105.9,   136.6, 09.SVCP

     31,    2,   7,   1,   494.2,    23.3,   530.6,   608.3,    36.4,    77.6,   114.1, 09.SVCP

     32,    2,   3,   1,   520.5,    26.3,   592.6,   611.5,    72.1,    18.9,    91.0, 09.SVCP

     33,    2,   4,   1,   523.9,     3.4,   579.2,   610.7,    55.3,    31.4,    86.8, 09.SVCP

     34,    2,  10,   1,   530.6,     6.6,   763.3,   796.9,   232.7,    33.6,   266.3, 09.SVCP

     35,    2,   1,   3,   536.8,     6.2,   612.3,   640.6,    75.5,    28.3,   103.8, 09.SVCP

     36,    2,   2,   1,   556.0,    19.2,   626.4,   681.6,    70.4,    55.2,   125.6, 09.SVCP

     37,    2,   1,  10,   578.4,    22.4,   613.1,   762.5,    34.7,   149.5,   184.1, 09.SVCP

     38,    2,   2,   1,   606.4,    28.0,   627.2,   682.4,    20.8,    55.2,    76.0, 09.SVCP

     39,    2,   5,   1,   606.7,     0.3,   655.5,   683.2,    48.8,    27.7,    76.5, 09.SVCP

     40,    2,   1,   8,   638.2,    31.5,   684.8,   734.2,    46.6,    49.4,    96.0, 09.SVCP

     41,    2,   9,   1,   639.5,     1.3,   749.2,   796.1,   109.7,    47.0,   156.6, 09.SVCP

     42,    2,   7,   1,   646.5,     7.0,   720.8,   794.5,    74.3,    73.7,   148.0, 09.SVCP

     43,    2,   1,   8,   652.4,     5.9,   685.6,   735.0,    33.2,    49.4,    82.6, 09.SVCP

     44,    2,   8,   1,   656.3,     4.0,   735.8,   795.3,    79.5,    59.5,   139.0, 09.SVCP

     45,    2,   5,   1,   657.0,     0.6,   662.1,   684.0,     5.1,    21.9,    27.0, 09.SVCP

     46,    2,   1,   5,   682.7,    25.8,   686.4,   705.9,     3.7,    19.5,    23.2, 09.SVCP

     47,    2,   1,  10,   740.8,    58.0,   797.7,   931.0,    56.9,   133.3,   190.2, 09.SVCP

     48,    2,   1,   3,   754.4,    13.6,   798.5,   832.7,    44.1,    34.1,    78.3, 09.SVCP

     49,    2,   1,   9,   767.5,    13.1,   799.3,   917.6,    31.8,   118.3,   150.1, 09.SVCP

     50,    2,  10,   1,   780.0,    12.5,   932.6,  1008.7,   152.6,    76.1,   228.7, 09.SVCP

     51,    2,   1,  10,   799.0,    19.0,   805.9,   931.8,     6.9,   125.9,   132.8, 09.SVCP

     52,    2,   2,   1,   799.8,     0.8,   819.3,   847.5,    19.5,    28.2,    47.7, 09.SVCP

     53,    2,   1,   4,   814.3,    14.6,   848.3,   884.0,    34.0,    35.6,    69.7, 09.SVCP

     54,    2,   1,   4,   815.0,     0.6,   849.1,   884.8,    34.1,    35.6,    69.8, 09.SVCP

     55,    2,   6,   1,   831.9,    17.0,   899.6,  1007.1,    67.7,   107.4,   175.2, 09.SVCP

     56,    2,  10,   1,   835.5,     3.5,   933.4,  1009.5,    97.9,    76.1,   174.0, 09.SVCP

     57,    2,   1,   2,   849.7,    14.2,   855.7,   869.1,     6.0,    13.4,    19.4, 09.SVCP

     58,    2,   6,   1,   878.0,    28.3,   900.4,  1007.9,    22.4,   107.4,   129.9, 09.SVCP

     59,    2,   1,   9,   895.5,    17.5,  1013.5,  1068.4,   118.0,    54.9,   172.9, 09.SVCP

     60,    2,   2,   1,   904.0,     8.5,   993.7,  1012.7,    89.7,    19.0,   108.7, 09.SVCP

     61,    2,   3,   1,   915.0,    11.0,   980.3,  1011.9,    65.3,    31.5,    96.9, 09.SVCP

     62,    2,   6,   1,   915.2,     0.2,   963.1,  1011.1,    47.9,    47.9,    95.9, 09.SVCP

     63,    2,   8,   1,   925.0,     5.8,   948.3,  1010.3,    23.3,    62.0,    85.3, 09.SVCP

     64,    2,   1,   4,   930.0,     5.0,  1014.3,  1033.9,    84.3,    19.6,   103.9, 09.SVCP

     65,    2,   1,   8,   938.0,     8.0,  1015.1,  1054.2,    77.1,    39.1,   116.2, 09.SVCP

     66,    2,   1,   8,   978.1,    39.9,  1015.9,  1055.0,    37.8,    39.1,    76.9, 09.SVCP

     67,    2,   1,   4,   990.1,    12.0,  1016.7,  1034.7,    26.6,    18.0,    44.6, 09.SVCP

     68,    2,   1,   9,  1086.0,    97.5,  1110.4,  1150.2,    24.4,    39.9,    64.2, 09.SVCP

     69,    2,   6,   1,  1106.8,    19.3,  1133.0,  1205.0,    26.2,    72.0,    98.2, 09.SVCP

     70,    2,   1,  10,  1107.2,     0.4,  1111.2,  1163.6,     4.0,    52.4,    56.4, 09.SVCP

     71,    2,   1,  10,  1124.3,    17.1,  1206.6,  1271.6,    82.3,    65.0,   147.3, 09.SVCP

     72,    2,   8,   1,  1148.0,    23.7,  1178.5,  1205.8,    30.5,    27.3,    57.8, 09.SVCP

     73,    2,   1,   6,  1164.1,    16.0,  1207.4,  1241.1,    43.3,    33.7,    77.0, 09.SVCP

     74,    2,   3,   1,  1197.2,    33.1,  1223.1,  1302.8,    25.9,    79.8,   105.6, 09.SVCP

     75,    2,   1,   9,  1198.1,     1.0,  1208.2,  1258.3,    10.1,    50.1,    60.2, 09.SVCP

     76,    2,   3,   1,  1219.0,    19.9,  1223.9,  1303.6,     4.9,    79.8,    84.6, 09.SVCP

     77,    2,   1,   2,  1251.7,    32.7,  1304.4,  1318.6,    52.7,    14.2,    66.9, 09.SVCP

     78,    2,   1,  10,  1264.8,    13.1,  1305.2,  1438.7,    40.4,   133.4,   173.9, 09.SVCP

     79,    2,   1,   2,  1313.0,    48.2,  1332.0,  1346.2,    19.0,    14.2,    33.2, 09.SVCP

     80,    2,   1,   3,  1331.9,    18.9,  1332.8,  1359.5,     0.9,    26.7,    27.6, 09.SVCP

     81,    2,   1,   5,  1350.1,    18.3,  1374.4,  1405.8,    24.3,    31.4,    55.7, 09.SVCP

